# Uncertainties for U235 Fallot's spectrum from arXiv:1208.3877
# Bin center [MeV], total relative uncertainty
1.90 0.10
2.10 0.10
2.30 0.10
2.50 0.10
2.70 0.10
2.90 0.10
3.10 0.10
3.30 0.10
3.50 0.10
3.70 0.10
3.90 0.10
4.10 0.10
4.30 0.10
4.50 0.10
4.70 0.10
4.90 0.10
5.10 0.10
5.30 0.10
5.50 0.10
5.70 0.10
5.90 0.10
6.10 0.10
6.30 0.10
6.50 0.10
6.70 0.10
6.90 0.10
7.10 0.10
7.30 0.10
7.50 0.10
7.70 0.10
7.90 0.10
8.10 0.20
8.30 0.20
8.50 0.20
8.70 0.20
8.90 0.20
9.10 0.20
9.30 0.20
9.50 0.20
9.70 0.20
9.90 0.20
